player,team,league,season,position_group,cluster,archetype,pca_x,pca_y,goals_p90,assists_p90,xG_p90,xA_p90,shots_p90,key_passes_p90,xGChain_p90,xGBuildup_p90,shot_conversion,finishing_over_xG,creation_over_xA,discipline_p90,involvement_index
Manu Trigueros,Villarreal,La Liga,1920,MID,1,Volume Forward,2.3260317951269704,1.8844243898126043,0.11749347250816353,0.23498694501632705,0.18487910666002552,0.213929732341265,1.5274151426061258,1.8798955601306164,0.5963349731408569,0.3172447616425069,0.07692307396449716,-0.067385634151862,0.021057212675062054,0.35248041752449055,0.4567898673916819
Adrián,Osasuna,La Liga,1920,FWD,1,Volume Forward,0.7706979924330429,0.17756560434018015,0.12203389822234989,0.0,0.1874610648435021,0.15104952599020569,1.098305084001149,1.5254237277793736,0.4980140931621834,0.22769342026690054,0.11111110493827195,-0.06542716662115222,-0.15104952599020569,0.0,0.362853756714542
Montoro,Granada,La Liga,1920,MID,3,Elite Complete Forward,1.9231799480238154,1.1374683784954691,0.187891440304915,0.4697286007622875,0.09888773260422311,0.13012813456725553,1.315240082134405,1.9728601232016074,0.3243141053922747,0.22182073475414038,0.14285713265306196,0.0890037077006919,0.339600466195032,0.563674320914745,0.2730674200732075
Carlos Soler,Valencia,La Liga,1920,MID,4,Deep-Lying Playmaker,-0.4890055505831441,0.2750785338257848,0.08579599614595043,0.0,0.07844433403102989,0.05987088159388745,0.7721639653135539,0.6434699710946282,0.4153356283434517,0.30658239638158064,0.11111110493827195,0.00735166211492054,-0.05987088159388745,0.17159199229190086,0.36095901236251615
Sergi Darder,Espanyol,La Liga,1920,FWD,1,Volume Forward,-0.6509334087399965,-0.10435190662875325,0.06795016984977344,0.03397508492488672,0.11130892428020088,0.09345898396970459,1.7667044160941094,1.0192525477466015,0.29972070285184066,0.13573012479423818,0.03846153772189351,-0.04335875443042744,-0.05948389904481787,0.16987542462443359,0.21772541382303942
José Campaña,Levante,La Liga,1920,MID,1,Volume Forward,1.6370094786802245,2.1065003837128295,0.056944005043674785,0.19930401765286174,0.06824441990173198,0.17284988256095446,1.2527681109608453,2.07845618409413,0.4695506901366306,0.3556934637222542,0.04545454442148763,-0.011300414858057196,0.026454135091907277,0.11388801008734957,0.4126220769294424
Ramón Azeez,Granada,La Liga,1920,MID,0,Defensive Anchor,-0.9268863962007741,-0.5991883073121874,0.13353115717097094,0.0,0.1374415519666806,0.014093236846326664,1.3353115717097095,0.4005934715129128,0.32633437144954264,0.20888716531399912,0.09999999500000024,-0.0039103947957096485,-0.014093236846326664,0.2002967357564564,0.2676107683817709
Clement Lenglet,Barcelona,La Liga,1920,DEF,4,Deep-Lying Playmaker,-0.38928666089070635,0.7730451972544397,0.07386130485274464,0.03693065242637232,0.028312133325383886,0.018211258174223192,0.36930652426372323,0.22158391455823392,0.4728488936978579,0.46658524226055165,0.19999998000000202,0.04554917152736075,0.01871939425214913,0.4062371766900955,0.46971706797920476
Rubén Peña,Villarreal,La Liga,1920,DEF,2,Efficient Impact Player,0.3798929343911562,-0.21500003964369277,0.09443861485076673,0.09443861485076673,0.050953989890168805,0.08637311282860737,0.2833158445523002,0.8499475336569006,0.44362056058505406,0.32873006506627983,0.33333327777778704,0.04348462496059792,0.00806550202215936,0.2360965371269168,0.38617531282566697
Marc Roca,Espanyol,La Liga,1920,MID,0,Defensive Anchor,-1.274552383556065,-0.09921797702732169,0.05921052629631233,0.029605263148156164,0.07181767917688102,0.09005696162082147,0.9473684207409973,0.8289473681483726,0.22266519255351466,0.16876942057149816,0.06249999804687507,-0.01260715288056869,-0.06045169847266531,0.2368421051852493,0.1957173065625064
Oier,Osasuna,La Liga,1920,MID,0,Defensive Anchor,-1.253199569821926,0.15508757439645218,0.0773195875956531,0.03865979379782655,0.08772116635528021,0.03651421669185451,0.695876288360878,0.5412371131695717,0.3262575032209026,0.2495558217497664,0.11111110493827195,-0.010401578759627106,0.0021455771059720394,0.5412371131695717,0.2879066624853345
Gonçalo Guedes,Valencia,La Liga,1920,FWD,1,Volume Forward,0.3080844429917202,0.012055433797071469,0.14240506317847698,0.14240506317847698,0.09387132391139535,0.08108876906610299,1.6376582265524853,1.2104430370170542,0.3372763212359471,0.20400381515969124,0.08695651795841226,0.04853373926708163,0.06131629411237399,0.21360759476771546,0.27064006819781916
